frameNUM,carID,carCenterX,carCenterY,carW,carL,course,headX,headY,tailX,tailY,lostCountert,boundingBox1X,boundingBox1Y,boundingBox2X,boundingBox2Y,boundingBox3X,boundingBox3Y,boundingBox4X,boundingBox4Y,Lat,Lng
15,5,3673,688,45.35368347,109.6696472,106.2602081,3726,703,3619,672,1,3718,725,3613,694,3626,651,3731,682,28.17206074,113.0509749
15,6,133,152,39.45799255,99.83181763,130.426075,167,180,99,123,1,156,204,78,138,104,108,181,174,28.17220873,113.0499241
15,7,1981,159,40.72935486,89.51972198,171.2538376,1987,204,1974,113,1,1967,203,1954,115,1994,109,2007,197,28.17203728,113.0504739
15,8,132,1541,43.53930664,73.97000122,110.8544617,169,1555,94,1527,1,155,1579,87,1553,102,1511,171,1537,28.1720833,113.0502958
15,9,2832,520,40.42309189,87.48017883,113.1985931,2890,545,2774,494,1,2869,558,2763,513,2780,474,2885,520,28.17206164,113.0507468
15,10,1646,444,65.13124847,73.96362305,123.6900635,1680,466,1612,422,13,1658,492,1596,451,1633,395,1695,436,28.17223941,113.0504037
15,13,1176,424,51.02036285,97.21325684,34.24903488,1206,380,1145,468,2,1169,478,1127,449,1182,369,1224,398,28.17209322,113.0508497
16,0,2666,1041,44,107,90,2721,1041,2611,1041,1,2718,1063,2612,1063,2612,1019,2718,1019,28.17201292,113.0505269
16,1,2480,1055,41.30501175,105.4832382,88.02506602,2533,1053,2426,1057,1,2427,1077,2426,1037,2532,1033,2534,1074,28.17208511,113.0500035
16,2,1753,1370,48.89396667,129.4947815,63.43494987,1815,1339,1691,1401,1,1700,1427,1678,1383,1808,1319,1829,1362,28.17203728,113.0498935
16,3,3048,1316,44.32325363,109.6467209,98.58361816,3099,1323,2997,1308,1,3096,1345,2997,1330,3003,1290,3102,1305,28.17221323,113.0513375
16,4,660,1187,43.41088104,115.6672974,287.650116,607,1170,712,1204,1,708,1226,598,1191,611,1150,721,1185,28.17206614,113.0515187
16,5,3674,686,45.35368347,109.6696472,106.1134186,3726,701,3621,670,1,3718,724,3613,694,3626,651,3731,682,28.17223306,113.0522641
16,6,130,154,39.45799255,99.83181763,129.5596695,166,184,94,124,1,157,204,81,141,106,110,182,173,28.17205983,113.051369
16,7,1982,158,40.72935486,89.51972198,171.0273743,1989,203,1974,113,1,1968,202,1954,115,1994,109,2008,196,28.17199575,113.0518435
16,8,127,1542,43.53930664,73.97000122,109.6538239,163,1555,90,1529,1,154,1578,85,1553,99,1512,169,1537,28.17210494,113.0515605
16,9,2845,524,40.42309189,87.48017883,111.1247253,2882,538,2808,510,1,2871,555,2800,528,2813,493,2884,521,28.17232059,113.0521928
16,10,1647,444,65.13124847,73.96362305,123.6900635,1679,466,1614,422,14,1658,492,1596,451,1633,395,1695,436,28.17217352,113.0513568
16,13,1177,425,51.02036285,97.21325684,34.24903488,1207,381,1146,469,3,1170,479,1128,450,1183,370,1225,399,28.17218885,113.0518832
17,0,2666,1040,44,107,90,2721,1040,2611,1040,1,2718,1062,2612,1062,2612,1019,2718,1019,28.17207786,113.0520869
17,1,2481,1055,41.30501175,105.4832382,87.79740191,2534,1052,2427,1057,1,2429,1077,2427,1037,2533,1033,2534,1073,28.17209862,113.0518517
